Industrie;Companii;Capitalizare;Preț actiune;Val. intrinsecă;Abatere;EPS ttm;GN;P/E;P/BV;Marjă P. Net;ROA;ROE;Datorii/Ac. Net;Preț țintă;Dividend;Nr Actiuni;Recomandare;;;;;;;;;;;;;;
Tehnologie;Apple;3.843.020.800.000 $;255,52 $;161,80 $;57,92%;7,43 $;1.478,78;34,39;43,00;23,97%;21,46%;157,41%;145%;240,96 $;1,00 $;15.040.000.000;Cumpără;;;;;;;;;;;;;;
;Amazon;2.515.542.400.000 $;239,12 $;150,42 $;58,97%;7,08 $;218,52;33,77;6,47;8,04%;7,07%;22,56%;45%;239,00 $;-;10.520.000.000;Cumpără Puternic;;;;;;;;;;;;;;
;Alphabet;4.039.200.000.000 $;330,00 $;163,25 $;102,14%;10,00 $;189,75;33,00;5,75;27,74%;16,48%;32,10%;9%;220,00 $;0,80 $;12.240.000.000;Cumpără Puternic;;;;;;;;;;;;;;
;Adobe Systems;128.901.036.000 $;296,12 $;468,54 $;-36,80%;16,70 $;239,38;17,73;13,50;25,59%;15,97%;35,35%;50%;577,92 $;-;435.300.000;Cumpără;;;;;;;;;;;;;;
;AMD;375.564.600.000 $;231,83 $;160,59 $;44,36%;2,02 $;368,40;114,77;3,21;7,52%;1,25%;3,26%%;8%;175,69 $;-;1.620.000.000;Cumpără;;;;;;;;;;;;;;
;Arista Networks;163.056.279.387 $;129,83 $;57,40 $;126,18%;2,63 $;549,93;49,37;11,14;41,00%;16,00%;33,00%;-%;105,00 $;-;1.255.921.431;Cumpără;;;;;;;;;;;;;;
;ARM;111.069.000.000 $;105,78 $;40,51 $;161,12%;,78 $;3.782,31;135,62;27,89;18,13%;3,08%;11,89%;4%;149,83 $;-;1.050.000.000;Cumpără;;;;;;;;;;;;;;
;ASML;534.404.241.000 $;1.358,77 $;691,46 $;96,51%;28,11 $;742,47;48,34;15,36;26,40%;12,71%;49,22%;21%;956,75 $;6,71 $;393.300.000;Cumpără;;;;;;;;;;;;;;
;Axon Enterprise;48.498.050.000 $;636,04 $;;#DIV/0!;3,85 $;3.912,06;165,21;23,68;15,32%;2,29%;16,42%;31%;500,53 $;-;76.250.000;Cumpără Puternic;;;;;;;;;;;;;;
;Alibaba;373.804.000.000 $;165,40 $;121,46 $;36,18%;7,51 $;38,98;22,02;1,77;7,38%;4,68%;5,67%;24%;113,00 $;2,64 $;2.260.000.000;Cumpără Puternic;;;;;;;;;;;;;;
